date,state,city,suspects,confirmed,negatives,deaths,new_cases,estimated_population_2019,confirmed_per_100k_inhabitants
2020-04-26,MG,Uberlândia,3524,114,1119,9,0,691305,
2020-04-25,MG,Uberlândia,3414,114,1118,9,6,691305,
2020-04-24,MG,Uberlândia,3291,108,1016,8,12,691305,
2020-04-23,MG,Uberlândia,3168,96,1005,7,4,691305,
2020-04-22,MG,Uberlândia,3063,92,963,5,11,691305,
2020-04-21,MG,Uberlândia,2971,81,955,4,0,691305,
2020-04-20,MG,Uberlândia,2905,81,955,4,3,691305,
2020-04-19,MG,Uberlândia,2827,78,905,4,4,691305,
2020-04-18,MG,Uberlândia,2755,74,905,4,0,691305,
2020-04-17,MG,Uberlândia,2687,74,892,4,5,691305,
2020-04-16,MG,Uberlândia,2605,69,820,4,3,691305,
2020-04-15,MG,Uberlândia,2515,66,803,4,0,691305,
2020-04-14,MG,Uberlândia,2432,66,742,4,0,691305,
2020-04-13,MG,Uberlândia,2314,66,696,4,0,691305,
2020-04-12,MG,Uberlândia,2211,66,635,4,1,691305,
2020-04-11,MG,Uberlândia,2129,65,619,4,1,691305,
2020-04-10,MG,Uberlândia,2066,64,574,3,5,691305,
2020-04-09,MG,Uberlândia,1997,59,518,3,3,691305,
2020-04-08,MG,Uberlândia,1901,56,475,2,7,691305,
2020-04-07,MG,Uberlândia,1794,49,407,2,0,691305,
2020-04-06,MG,Uberlândia,1715,49,402,2,2,691305,
2020-04-05,MG,Uberlândia,1615,47,374,2,2,691305,
2020-04-04,MG,Uberlândia,1543,45,317,2,8,691305,
2020-04-03,MG,Uberlândia,1455,37,303,2,13,691305,
2020-04-02,MG,Uberlândia,1368,24,232,0,5,691305,
2020-04-01,MG,Uberlândia,1269,19,196,0,6,691305,
2020-03-31,MG,Uberlândia,1181,13,143,0,3,691305,
2020-03-30,MG,Uberlândia,1082,10,105,0,0,691305,
2020-03-29,MG,Uberlândia,1029,10,105,0,2,691305,
2020-03-28,MG,Uberlândia,1019,8,104,0,0,691305,
2020-03-27,MG,Uberlândia,973,8,86,0,0,691305,
2020-03-26,MG,Uberlândia,697,8,73,0,0,691305,
2020-03-25,MG,Uberlândia,399,8,67,0,0,691305,
2020-03-24,MG,Uberlândia,306,8,67,0,1,691305,
2020-03-23,MG,Uberlândia,225,7,41,0,4,691305,
2020-03-22,MG,Uberlândia,193,3,27,0,0,691305,
2020-03-21,MG,Uberlândia,188,3,25,0,3,691305,
